hace,does,Ella hace ejercicio por la mañana.,She does exercise in the morning.
entonces,then,Si llueve,entonces no saldremos.,If it rains, then we won't go out.
siento,I feel,Siento que esto está mal.,I feel that this is wrong.
tenemos,we have,Tenemos una casa grande.,We have a big house.
puedes,you can,¿Puedes ayudarme con esto?,Can you help me with this?
ahí,there,El libro está ahí,en la mesa.,The book is there, on the table.
ti,you (object),Esto es para ti.,This is for you.
vida,life,La vida es bella.,Life is beautiful.
ver,to see,Quiero ver esa película.,I want to see that movie.
alguien,someone,Alguien llamó por teléfono.,Someone called on the phone.
sr,Mr.,El Sr. Gómez llegó temprano.,Mr. Gómez arrived early.
hasta,until,Estaré aquí hasta mañana.,I will be here until tomorrow.
sin,without,No puedo vivir sin ti.,I can't live without you.
mí,me,Esto es para mí.,This is for me.
solo,alone,Prefiero estar solo.,I prefer to be alone.
años,years,Tengo veinte años.,I am twenty years old.
sobre,about,Este libro es sobre historia.,This book is about history.
decir,to say,Quiero decir algo importante.,I want to say something important.
uno,one,Necesito uno más.,I need one more.
siempre,always,Siempre te recordaré.,I will always remember you.
oh,oh,Oh,no lo sabía.,Oh, I didn't know that.
ir,to go,Voy a ir al mercado.,I am going to go to the market.
cosas,things,Hay muchas cosas que hacer.,There are many things to do.
también,also,Yo también quiero ir.,I also want to go.
antes,before,Llegué antes de la fiesta.,I arrived before the party.
has,you have,¿Has comido ya?,Have you eaten yet?
ni,nor,No quiero café ni té.,I don't want coffee nor tea.
mis,my (plural),Mis amigos vienen mañana.,My friends are coming tomorrow.
día,day,Hoy es un buen día.,Today is a good day.
estar,to be,Quiero estar contigo.,I want to be with you.
estamos,we are,Estamos listos para empezar.,We are ready to start.
noche,night,La noche es muy tranquila.,The night is very quiet.
nadie,nobody,Nadie sabe la respuesta.,Nobody knows the answer.
otra,other (fem.),Necesito otra taza de té.,I need another cup of tea.
quiere,he/she wants,Ella quiere un helado.,She wants an ice cream.
parece,it seems,Parece que va a llover.,It seems that it's going to rain.
nosotros,we,Nosotros vamos al cine.,We are going to the movies.
poco,little,Tengo poco tiempo.,I have little time.
padre,father,Mi padre trabaja mucho.,My father works a lot.
trabajo,work,Tengo mucho trabajo hoy.,I have a lot of work today.
gente,people,La gente está feliz.,The people are happy.
mira,he looks,Él mira por la ventana.,He looks out the window.
vas,you go,Tú vas demasiado rápido.,You go too fast.
sea,be (subj.),Espero que sea un buen día.,I hope it will be a good day.
les,to them,Les di un regalo.,I gave them a gift.
donde,where,No sé donde está.,I don't know where it is.
mismo,same,Quiero el mismo color.,I want the same color.
hecho,done,El trabajo está hecho.,The work is done.
ellos,they,Ellos viven lejos.,They live far away.
dijo,he/she said,Ella dijo la verdad.,She told the truth.
pasa,happens,¿Qué pasa aquí?,What's happening here?
dinero,money,Necesito dinero para viajar.,I need money to travel.
hijo,son,Su hijo tiene cinco años.,Her son is five years old.
tal,such,Nunca había visto tal cosa.,I had never seen such a thing.
otro,another,Quiero otro pedazo de pastel.,I want another piece of cake.
hablar,to speak,Necesito hablar contigo.,I need to speak with you.
seguro,sure,Estoy seguro de mi respuesta.,I am sure of my answer.
claro,clear,El agua está muy clara.,The water is very clear.
estas,these,Estas manzanas son frescas.,These apples are fresh.
lugar,place,Este es un buen lugar.,This is a good place.
mundo,world,El mundo es grande.,The world is big.
amigo,friend,Mi amigo vive en Madrid.,My friend lives in Madrid.
espera,waits,Ella espera el autobús.,She waits for the bus.
mierda,shit,¡Mierda! Olvidé las llaves.,Shit! I forgot the keys.
han,they have,Ellos han terminado.,They have finished.
tus,your (plural),Tus libros están en la mesa.,Your books are on the table.
sabe,he/she knows,Él sabe la respuesta.,He knows the answer.
después,after,Vamos a cenar después de la película.,We will have dinner after the movie.
momento,moment,Espérame un momento.,Wait for me a moment.
desde,since,Te he querido desde entonces.,I have loved you since then.
fuera,outside,Vamos fuera a jugar.,Let's go outside to play.
cosa,thing,Esa cosa me asusta.,That thing scares me.
tipo,type,¿Qué tipo de música te gusta?,What type of music do you like?
mañana,tomorrow,Mañana iremos al parque.,Tomorrow we will go to the park.
podemos,we can,Podemos empezar ahora.,We can start now.
dije,I said,Te dije la verdad.,I told you the truth.
gran,great,Fue un gran día.,It was a great day.
necesito,I need,Necesito dormir más.,I need to sleep more.
estado,state,El estado actual es estable.,The current state is stable.
podría,could,Podría ayudar si quieres.,I could help if you want.
acuerdo,agreement,Llegamos a un acuerdo.,We reached an agreement.
papá,dad,Mi papá cocina muy bien.,My dad cooks very well.
tener,to have,Necesito tener más confianza.,I need to have more confidence.
dice,he/she says,Mi profesor dice que estudie más.,My teacher says I should study more.
mío,mine,Este libro es mío.,This book is mine.
crees,you believe,¿Crees en el amor?,Do you believe in love?
buena,good (fem.),Es una buena idea.,It's a good idea.
gusta,likes,Me gusta el chocolate.,I like chocolate.
nuestro,our,Nuestro coche es nuevo.,Our car is new.
nuevo,new,Tengo un teléfono nuevo.,I have a new phone.
será,will be,Todo será perfecto.,Everything will be perfect.
haciendo,doing,Estoy haciendo mi tarea.,I am doing my homework.
días,days,Pasaron los días rápidamente.,The days passed quickly.
nombre,name,Mi nombre es Ana.,My name is Ana.
buen,good,Él es un buen amigo.,He is a good friend.
había,there was/there were,Había mucha gente en el concierto.,There were many people at the concert.
ven,come,Ven aquí,por favor.,Come here, please.
tres,three,Tengo tres libros.,I have three books.
menos,less/fewer,Necesitamos menos azúcar.,We need less sugar.
debe,must/should,Él debe estudiar más.,He should study more.
tenía,had,Cuando era niño,tenía un perro.,When I was a child, I had a dog.
mal,bad,Me siento mal hoy.,I feel bad today.
conmigo,with me,Ven conmigo al cine.,Come with me to the movies.
madre,mother,Mi madre cocina muy bien.,My mother cooks very well.
hoy,today,Hoy hace sol.,Today it's sunny.
quien,who,¿Quién llamó?,Who called?
sido,been,Ha sido un día largo.,It has been a long day.
mamá,mom,Mi mamá es muy amable.,My mom is very kind.
tienen,they have,Ellos tienen tres gatos.,They have three cats.
luego,later,Te llamo luego.,I'll call you later.
todas,all (fem. pl.),Todas las puertas están abiertas.,All the doors are open.
allí,there,El libro está allí.,The book is there.
toda,all (fem. sing.),Toda la casa está limpia.,The whole house is clean.
hora,hour/time,La hora de la reunión es a las cinco.,The meeting time is at five.
mujer,woman,La mujer sonríe.,The woman is smiling.
visto,seen,He visto esa película.,I have seen that movie.
haces,you do/make,¿Qué haces?,What are you doing?
importa,it matters,No importa lo que digan.,It doesn't matter what they say.
contigo,with you,Quiero ir contigo.,I want to go with you.
ve,(she/he) sees or go (imp.),Ella ve la televisión.,She watches television.
tarde,late,Llegaste tarde a la clase.,You arrived late to class.
oye,(he/she) hears,Él oye un ruido extraño.,He hears a strange noise.
parte,part,Esta es la mejor parte.,This is the best part.
haber,to have (auxiliary),Puede haber un problema.,There may be a problem.
hombres,men,Los hombres hablan.,The men are talking.
problema,problem,Tenemos un problema serio.,We have a serious problem.
mas,but,Quería ir,mas no pude.,I wanted to go, but I couldn't.
saber,to know,Quiero saber la verdad.,I want to know the truth.
quería,wanted,Yo quería un helado.,I wanted an ice cream.
aún,still/yet,Aún no ha llegado.,He hasn't arrived yet.
veces,times,A veces llueve.,Sometimes it rains.
nuestra,our (fem. sing.),Esta es nuestra casa.,This is our house.
hacerlo,to do it,Necesito hacerlo hoy.,I need to do it today.
cada,each/every,Visito a mi abuela cada semana.,I visit my grandmother every week.
hizo,he/she did/made,Ella lo hizo rápido.,She did it quickly.
veo,I see,Te veo mañana.,I'll see you tomorrow.
tanto,so much,Te extraño tanto.,I miss you so much.
razón,reason,Tienes razón.,You are right.
ustedes,you (pl.),Ustedes son bienvenidos.,You are welcome.
idea,idea,Tengo una buena idea.,I have a good idea.
esos,those (masc.),Me gustan esos zapatos.,I like those shoes.
van,they go,Ellos van al parque.,They go to the park.
quizá,maybe,Quizá llueva mañana.,Maybe it will rain tomorrow.
debo,I must,Debo terminar mi tarea.,I must finish my homework.
alguna,some/any (fem.),¿Tienes alguna pregunta?,Do you have any question?
cierto,true/certain,Es cierto que hace frío.,It is true that it's cold.
ud,you (formal),¿Ud. necesita ayuda?,Do you need help?
muerto,dead,El pez está muerto.,The fish is dead.
unos,some (masc.),Compré unos libros.,I bought some books.
estos,these (masc.),Estos días han sido difíciles.,These days have been difficult.
salir,to go out/leave,Quiero salir esta noche.,I want to go out tonight.
policía,police,La policía llegó rápido.,The police arrived quickly.
realmente,really,Me gusta realmente este libro.,I really like this book.
demasiado,too much,Hay demasiado ruido.,There is too much noise.
familia,family,Mi familia vive aquí.,My family lives here.
pueden,they can,Ellos pueden venir.,They can come.
cabeza,head,Me duele la cabeza.,My head hurts.
hemos,we have,Hemos terminado.,We have finished.
amigos,friends,Mis amigos llegaron.,My friends arrived.
chica,girl,La chica corre.,The girl is running.
cariño,affection/honey,Te tengo mucho cariño.,I am very fond of you.
lado,side,Está al lado de la casa.,It is next to the house.
allá,over there,Mira allá.,Look over there.
entre,between/among,El secreto está entre nosotros.,The secret is between us.
minutos,minutes,Faltan diez minutos.,There are ten minutes left.
digo,I say,Digo la verdad.,I am telling the truth.
algún,some/any (masc.),¿Tienes algún libro?,Do you have any book?
serio,serious,Es un asunto serio.,It is a serious matter.
cuidado,care/caution,¡Cuidado con el perro!,Be careful with the dog!
pasó,happened,¿Qué pasó ayer?,What happened yesterday?
buenas,good (fem. pl.),Buenas tardes.,Good afternoon.
somos,we are,Somos amigos.,We are friends.
amor,love,El amor es importante.,Love is important.
puerta,door,Cierra la puerta,por favor.,Close the door, please.
ves,you see,¿Ves eso?,Do you see that?
vaya,go (formal imp.),Vaya con cuidado.,Go carefully.
ah,oh,¡Ah,ya entiendo!,Oh, I understand now!
suerte,luck,Buena suerte en el examen.,Good luck on the exam.
eh,uh,Eh,espera un momento.,Eh, wait a moment.
rápido,fast,Corre rápido.,Run fast.
cuenta,bill/account,Paga la cuenta.,Pay the bill.
quizás,perhaps,Quizás venga mañana.,Perhaps he will come tomorrow.
io,Io (Jupiter's moon),Io es una de las lunas de Júpiter.,Io is one of Jupiter's moons.
esas,those (fem.),Esas flores son hermosas.,Those flowers are beautiful.
pues,well/so,Pues,no estoy seguro.,Well, I'm not sure.
pasado,past/last,El mes pasado viajé.,Last month I traveled.
pensé,I thought,Pensé en ti.,I thought about you.
todavía,still,Todavía tengo hambre.,I'm still hungry.
hermano,brother,Mi hermano estudia medicina.,My brother studies medicine.
debes,you must,Debes descansar.,You must rest.
casi,almost,Casi termino el libro.,I almost finished the book.
forma,way/form,De esta forma funciona.,This way it works.
aqui,here,Ven aquí.,Come here.
chico,boy,El chico juega fútbol.,The boy plays soccer.
ok,okay,Todo está ok.,Everything is okay.
dicho,said,Lo dicho es importante.,What was said is important.
nueva,new,Tengo una casa nueva.,I have a new house.
sabía,knew,No sabía la respuesta.,I didn’t know the answer.
muchas,many,Tengo muchas preguntas.,I have many questions.
dentro,inside,Está dentro de la caja.,It is inside the box.
hice,I did,Hice mi tarea anoche.,I did my homework last night.
contra,against,Estoy contra esa idea.,I am against that idea.
auto,car,Compré un auto nuevo.,I bought a new car.
camino,road,El camino es largo.,The road is long.
ayuda,help,Necesito ayuda ahora.,I need help now.
primera,first,Esta es la primera vez.,This is the first time.
hacia,towards,Camina hacia el parque.,Walk towards the park.
vi,I saw,Vi una película ayer.,I saw a movie yesterday.
miedo,fear,Tengo miedo de la oscuridad.,I am afraid of the dark.
adiós,goodbye,Dije adiós y me fui.,I said goodbye and left.
primero,first,Él llegó primero.,He arrived first.
debería,should,Debería estudiar más.,I should study more.
poder,to be able,Quiero poder ayudar.,I want to be able to help.
niños,children,Los niños juegan afuera.,The children play outside.
sería,would be,Sería genial ir contigo.,It would be great to go with you.
historia,story,Me contaron una historia.,They told me a story.
hey,hey,Hey,¿cómo estás?,Hey, how are you?
mientras,while,Leo un libro mientras espero.,I read a book while I wait.
ciudad,city,Vivo en la ciudad grande.,I live in the big city.
dijiste,you said,Tú dijiste la verdad.,You told the truth.
espero,I hope/I wait,Espero tu respuesta.,I am waiting for your response.
cuánto,how much,¿Cuánto cuesta esto?,How much does this cost?
esposa,wife,Mi esposa es doctora.,My wife is a doctor.
pronto,soon,Llegaré pronto.,I will arrive soon.
chicos,boys,Los chicos corren rápido.,The boys run fast.
cualquier,any,Elige cualquier color.,Choose any color.
viejo,old,Ese coche es muy viejo.,That car is very old.
debemos,we should,Debemos irnos ahora.,We should leave now.
deja,stop,Deja de gritar.,Stop shouting.
año,year,Este año fue difícil.,This year was difficult.
muerte,death,Temo a la muerte.,I fear death.
hablando,speaking,Estoy hablando contigo.,I am speaking with you.
manos,hands,Lava tus manos.,Wash your hands.
da,gives,Ella da regalos.,She gives gifts.
loco,crazy,Estás loco.,You are crazy.
problemas,problems,Tenemos problemas serios.,We have serious problems.
mano,hand,Levanta la mano.,Raise your hand.
guerra,war,La guerra terminó.,The war is over.
semana,week,La semana pasó rápido.,The week passed quickly.
pasar,to happen,¿Qué va a pasar?,What is going to happen?
vale,okay,Vale,nos vemos mañana.,Okay, see you tomorrow.
cuál,which,¿Cuál prefieres?,Which one do you prefer?
viene,comes,Él viene hoy.,He is coming today.
volver,to return,Quiero volver a casa.,I want to return home.
toma,drink,Toma agua.,Drink water.
caso,case,En ese caso,no voy.,In that case, I won’t go.
agua,water,Bebo agua todos los días.,I drink water every day.
haré,I will,Haré lo que pueda.,I will do what I can.
vete,go away,Vete ahora mismo.,Go away right now.
entiendo,I understand,Entiendo tu problema.,I understand your problem.
horas,hours,Trabajé muchas horas.,I worked many hours.
personas,people,Hay muchas personas aquí.,There are many people here.
capitán,captain,El capitán habla ahora.,The captain speaks now.
adelante,forward,Adelante,por favor.,Go ahead, please.
niño,boy,Ese niño es inteligente.,That boy is smart.
listo,ready,Estoy listo para salir.,I am ready to go out.
noches,nights,Las noches son frías.,The nights are cold.
buenos,good,Buenos días a todos.,Good morning everyone.
iba,was going,Él iba al mercado.,He was going to the market.
juntos,together,Trabajamos juntos.,We work together.
dame,give me,Dame más tiempo.,Give me more time.
único,only,Eres mi único amigo.,You are my only friend.
déjame,let me,Déjame intentar.,Let me try.
cerca,near,Vivo cerca de aquí.,I live near here.
otros,others,Los otros llegaron tarde.,The others arrived late.
sigue,keep going,Sigue adelante.,Keep going.
grande,big,Esta casa es grande.,This house is big.
arriba,up,Mira hacia arriba.,Look up.
jefe,boss,Mi jefe es estricto.,My boss is strict.
habla,speaks,Él habla cinco idiomas.,He speaks five languages.
supongo,I suppose,Supongo que tienes razón.,I suppose you are right.
manera,way,No hay manera de salir.,There is no way out.
quieren,they want,Ellos quieren comer.,They want to eat.
feliz,happy,Estoy muy feliz hoy.,I am very happy today.
significa,means,¿Qué significa eso?,What does that mean?
sangre,blood,La sangre es roja.,Blood is red.
fin,end,Este es el fin.,This is the end.
bajo,under,El gato está bajo la mesa.,The cat is under the table.
llama,calls,Mi madre me llama.,My mother calls me.
venir,to come,Quiero venir contigo.,I want to come with you.
morir,to die,Temo morir solo.,I’m afraid to die alone.
importante,important,Este documento es importante.,This document is important.
hiciste,you did,¿Qué hiciste ayer?,What did you do yesterday?
ojos,eyes,Ella tiene ojos azules.,She has blue eyes.
escucha,listen,Escucha la canción.,Listen to the song.
entrar,to enter,Puedes entrar ahora.,You can enter now.
ningún,none,No tengo ningún problema.,I don’t have any problem.
corazón,heart,Mi corazón late rápido.,My heart beats fast.
diablos,damn,¡Diablos! Olvidé las llaves.,Damn! I forgot the keys.
necesitamos,we need,Necesitamos más tiempo.,We need more time.
atrás,behind,Mira atrás antes de cruzar.,Look back before crossing.
d durante,during,Dormí durante la reunión.,I slept during the meeting.
dices,you say,¿Qué dices?,What are you saying?
nuestros,our,Estos son nuestros libros.,These are our books.
persona,person,La persona habla.,The person speaks.
abajo,down,El gato está abajo.,The cat is down.
dr,doctor,El Dr. Pérez llegó.,Dr. Pérez arrived.
hija,daughter,Mi hija juega en el parque.,My daughter plays in the park.
dejar,to leave,Voy a dejar el libro aquí.,I'm going to leave the book here.
necesita,needs,Ella necesita ayuda.,She needs help.
llegar,to arrive,Tenemos que llegar temprano.,We have to arrive early.
hago,I do,Yo hago la cena.,I make dinner.
señora,lady,La señora espera en la puerta.,The lady waits at the door.
haya,there is,Espero que haya paz.,I hope there is peace.
suficiente,enough,No tengo suficiente comida.,I don't have enough food.
doctor,doctor,El doctor está ocupado.,The doctor is busy.
gustaría,would like,Me gustaría un café.,I would like a coffee.
tierra,land,La tierra es fértil.,The land is fertile.
cara,face,Tu cara está roja.,Your face is red.
siquiera,even,Ni siquiera lo intentó.,He didn't even try.
genial,great,¡Eso es genial!,That's great!
cree,believes,Ella cree en ti.,She believes in you.
supuesto,supposed,El supuesto culpable huyó.,The supposed culprit ran away.
tomar,to drink,Voy a tomar agua.,I'm going to drink water.
equipo,team,El equipo ganó el partido.,The team won the match.
justo,fair,Es un precio justo.,It's a fair price.
juego,game,El juego comienza ahora.,The game starts now.
ninguna,none,No veo ninguna señal.,I don't see any sign.
matar,to kill,Tienes que matar al monstruo.,You have to kill the monster.
cinco,five,Tengo cinco manzanas.,I have five apples.
dicen,they say,Dicen que lloverá mañana.,They say it will rain tomorrow.
amo,I love,Yo amo la música.,I love music.
cuándo,when,¿Cuándo vienes?,When are you coming?
pequeño,small,El perro es pequeño.,The dog is small.
algunos,some,Algunos estudiantes llegaron tarde.,Some students arrived late.
conozco,I know,Conozco a María.,I know Maria.
clase,class,La clase empieza ahora.,The class starts now.
maldito,damned,Este maldito coche no arranca.,This damned car won't start.
unas,some,Compré unas flores.,I bought some flowers.
muchos,many,Hay muchos libros.,There are many books.
hubiera,would have,Ojalá hubiera más tiempo.,I wish there were more time.
segundo,second,Es mi segundo intento.,It is my second attempt.
aunque,although,Aunque llueva,iremos.,Although it rains, we will go.
pueda,can,Espero que pueda venir.,I hope he can come.
dime,tell me,Dime la verdad.,Tell me the truth.
igual,same,Somos iguales.,We are equal.
comida,food,La comida está lista.,The food is ready.
ay,ouch,¡Ay,me duele!,Ouch, it hurts!
cuerpo,body,El cuerpo humano es complejo.,The human body is complex.
encontrar,to find,No puedo encontrar mis llaves.,I can't find my keys.
fuerte,strong,Él es muy fuerte.,He is very strong.
vuelta,turn,Dio una vuelta rápida.,He took a quick turn.
venga,come,Venga aquí ahora.,Come here now.
creer,to believe,No puedo creer esto.,I can't believe this.
realidad,reality,La realidad es dura.,Reality is harsh.
saben,they know,Ellos saben la respuesta.,They know the answer.
puta,whore,Esa mujer es una puta.,That woman is a whore.
deberías,should,Deberías descansar.,You should rest.
pregunta,question,Tengo una pregunta.,I have a question.
fui,I went,Ayer fui al cine.,Yesterday I went to the movies.
cuatro,four,Hay cuatro sillas.,There are four chairs.
sra,Mrs.,La sra. López habló.,Mrs. López spoke.
primer,first,El primer día fue difícil.,The first day was difficult.
trabajar,to work,Necesito trabajar hoy.,I need to work today.
e,and,Padres e hijos.,Parents and children.
hagas,you do,Quiero que hagas tu tarea.,I want you to do your homework.
alto,tall,El edificio es alto.,The building is tall.
maldita,damned,Esa maldita puerta no cierra.,That damned door won't close.
comer,to eat,Me gusta comer pizza.,I like to eat pizza.
número,number,Necesito un número de teléfono.,I need a phone number.
dar,to give,Voy a dar un regalo.,I'm going to give a gift.
necesitas,you need,Necesitas estudiar más.,You need to study more.
john,John,John es mi amigo.,John is my friend.
oportunidad,opportunity,Tienes una buena oportunidad.,You have a good opportunity.
punto,point,Ese es el punto clave.,That is the key point.
misma,same,Ella tiene la misma idea.,She has the same idea.
última,last,La última vez fue divertido.,The last time was fun.
afuera,outside,Vamos afuera.,Let's go outside.
mujeres,women,Las mujeres hablan.,The women are talking.
pensar,to think,Necesito pensar.,I need to think.
fueron,they were,Ellos fueron felices ayer.,They were happy yesterday.
difícil,difficult,Este problema es difícil.,This problem is difficult.
vivir,to live,Quiero vivir aquí.,I want to live here.
paso,step,Un paso a la vez.,One step at a time.
malo,bad,Tu actitud es mala.,Your attitude is bad.
estabas,you were,¿Dónde estabas ayer?,Where were you yesterday?
vivo,alive,Sigo vivo.,I'm still alive.
haga,do,Es importante que haga ejercicio.,It's important that he exercises.
queda,remains,Solo queda un pedazo.,Only one piece remains.
hijos,children,Mis hijos juegan.,My children are playing.
mayor,older,Mi hermana mayor vive aquí.,My older sister lives here.
fiesta,party,La fiesta empieza a las ocho.,The party starts at eight.
hacen,they do,Ellos hacen la tarea.,They do the homework.
medio,half,Comió medio pastel.,He ate half a cake.
algunas,some,Algunas personas vinieron.,Some people came.
basta,enough,¡Basta de mentiras!,Enough of lies!
ei,hey,¡Ei,ven aquí!,Hey, come here!
arma,weapon,Encontraron un arma.,They found a weapon.
vino,wine,Me gusta el vino.,I like wine.
meses,months,Han pasado tres meses.,Three months have passed.
cuarto,room,Este es mi cuarto.,This is my room.
éste,this one,Éste es mío.,This one is mine.
escuela,school,La escuela cierra mañana.,The school closes tomorrow.
esté,be,Quiero que estés feliz.,I want you to be happy.
dólares,dollars,Ella cambió sus euros por dólares.,She exchanged her euros for dollars.
tío,uncle,Mi tío vive en Canadá.,My uncle lives in Canada.
posible,possible,Es posible terminar hoy.,It is possible to finish today.
tuve,I had,Ayer tuve mucho trabajo.,Yesterday I had a lot of work.
fácil,easy,Esta tarea es muy fácil.,This task is very easy.
preocupes,you worry,No te preocupes por eso.,Don't worry about that.
jack,Jack,Jack es mi amigo.,Jack is my friend.
luz,light,Apaga la luz al salir.,Turn off the light when leaving.
eran,they were,Eran las tres de la tarde.,It was three in the afternoon.
carajo,damn,¡Carajo,olvidé las llaves!,Damn, I forgot the keys!
final,end,Este es el final del libro.,This is the end of the book.
lista,list,Escribe una lista de compras.,Write a shopping list.
trata,tries,Él siempre trata de ayudar.,He always tries to help.
armas,weapons,Prohibieron las armas en el estadio.,They banned weapons in the stadium.
hermana,sister,Mi hermana toca el piano.,My sister plays the piano.
exactamente,exactly,Eso es exactamente lo que quiero.,That is exactly what I want.
chicas,girls,Las chicas juegan en el parque.,The girls play in the park.
podía,could,Cuando era niño podía correr rápido.,When I was a child I could run fast.
bastante,enough,Tengo bastante comida para todos.,I have enough food for everyone.
seguridad,security,La seguridad es nuestra prioridad.,Security is our priority.
pasando,happening,¿Qué está pasando aquí?,What's happening here?
esperando,waiting,Estoy esperando el autobús.,I am waiting for the bus.
acá,here,Ven acá ahora mismo.,Come here right now.
teléfono,telephone,Mi teléfono está sin batería.,My phone has no battery.
perro,dog,El perro duerme en el jardín.,The dog sleeps in the garden.
fuego,fire,El fuego es muy peligroso.,Fire is very dangerous.
murió,he died,Mi abuelo murió el año pasado.,My grandfather died last year.
tampoco,neither,Yo tampoco sé la respuesta.,I don't know the answer either.
sola,alone,Ella se quedó sola en casa.,She stayed alone at home.
estuvo,he was,Él estuvo en la reunión ayer.,He was at the meeting yesterday.
verte,to see you,Quiero verte mañana.,I want to see you tomorrow.
